algorithm,n_threads,n_elems,t_random,t_distribute,t_merge,t_sort,t_writeback,t_total,sorted
bs2,1,450000,0.003859,0.029427,0.000000,0.010631,0.006326,0.048698,1
bs2,2,450000,0.002002,0.017037,0.000000,0.005537,0.004308,0.028122,1
bs2,3,450000,0.001435,0.011849,0.000000,0.003764,0.003394,0.019876,1
bs2,4,450000,0.001128,0.009190,0.000000,0.002860,0.002971,0.015713,1
bs2,6,450000,0.000996,0.006404,0.000000,0.001926,0.002584,0.011425,1
bs2,8,450000,0.000721,0.004492,0.000000,0.001434,0.002914,0.009260,1
bs2,10,450000,0.000790,0.003908,0.000000,0.001133,0.002402,0.007814,1
bs2,12,450000,0.000798,0.003283,0.000000,0.000992,0.002372,0.006973,1
bs2,16,450000,0.000872,0.002544,0.000000,0.000759,0.002395,0.005987,1
bs2,20,450000,0.000964,0.002098,0.000000,0.000695,0.002538,0.005604,1
bs2,24,450000,0.001050,0.001781,0.000000,0.000679,0.002664,0.005413,1
bs2,32,450000,0.001047,0.002646,0.000000,0.000806,0.002677,0.006501,1
bs2,48,450000,0.001438,0.001928,0.000000,0.000893,0.003052,0.006325,1
bs2,1,500000,0.004008,0.035626,0.000000,0.012090,0.006615,0.056908,1
bs2,2,500000,0.002075,0.018906,0.000000,0.006246,0.004394,0.030908,1
bs2,3,500000,0.001839,0.013150,0.000000,0.004238,0.004237,0.022596,1
bs2,4,500000,0.001272,0.011075,0.000000,0.003217,0.003366,0.018423,1
bs2,6,500000,0.000973,0.007704,0.000000,0.002187,0.002960,0.013399,1
bs2,8,500000,0.000888,0.005835,0.000000,0.001638,0.002797,0.010730,1
bs2,10,500000,0.000867,0.004332,0.000000,0.001309,0.002799,0.008853,1
bs2,12,500000,0.000675,0.003672,0.000000,0.001133,0.002801,0.007966,1
bs2,16,500000,0.000829,0.002845,0.000000,0.000881,0.002796,0.006846,1
bs2,20,500000,0.000945,0.002326,0.000000,0.000828,0.002937,0.006394,1
bs2,24,500000,0.001068,0.002136,0.000000,0.000825,0.003082,0.006366,1
bs2,32,500000,0.001269,0.003101,0.000000,0.000917,0.003129,0.007581,1
bs2,48,500000,0.001681,0.002358,0.000000,0.001086,0.003059,0.006961,1
bs2,1,550000,0.004439,0.042840,0.000000,0.013537,0.007323,0.066493,1
bs2,2,550000,0.002325,0.020875,0.000000,0.006994,0.004887,0.034253,1
bs2,3,550000,0.001857,0.015631,0.000000,0.004745,0.004288,0.025711,1
bs2,4,550000,0.001329,0.011230,0.000000,0.003619,0.003757,0.019435,1
